Code HS6,Label HS6
290621,Alcool benzylique
290629,"Alcools cycliques aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'alcool benzylique)"
2907,Phénols; phénols-alcools
290711,Phénol [hydroxybenzène] et ses sels
290712,Crésols et leurs sels
290713,"Octylphénol, nonylphénol et leurs isomères; sels de ces produits"
290715,Naphtols et leurs sels
290719,"Monophénols (à l'excl. du phénol [hydroxybenzène], des crésols, de l'octylphénol, du nonylphénol, des isomères de l'octylphénol et du nonylphénol, des naphtols ainsi que des sels de tous ces produits)"
290721,Résorcinol et ses sels
290722,Hydroquinone et ses sels
290723,"4,4'-Isopropylidènediphénol [bisphénol A, diphénylolpropane] et ses sels"
290729,"Polyphénols et phénols-alcools (à l'excl. du résorcinol, de l'hydroquinone, du 4,4'-isopropylidènediphénol [bisphénol A, diphénylolpropane] ainsi que des sels de ces produits)"
2908,"Dérivés halogénés, sulfonés, nitrés ou nitrosés des phénols ou des phénols-alcools"
290811,Pentachlorophénol [ISO]
290819,Dérivés seulement halogénés des phénols ou des phénols-alcools et leurs sels (à l'excl. du pentachlorophénol [ISO])
290891,"""Dinosèbe [ISO] et ses sels"
290892,"4,6-Dinitro-o-crésol (DNOC (ISO)) et ses sels"
290899,"Dérivés halogénés, sulfonés, nitrés ou nitrosés des phénols ou des phénols-alcools (à l'excl. des dérivés seulement halogénés et leurs sels, du dinosèbe (ISO) et ses sels et du 4,6-Dinitro-o-crésol (DNOC (ISO)) et ses sels)"
2909,"Éthers, éthers-alcools, éthers-phénols, éthers-alcools-phénols, peroxydes d'alcools, peroxydes d'éthers, peroxydes d’acétals et d’hémi-acetals, peroxydes de cétones, de constitution chimique définie ou non, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
290911,Éther diéthylique [oxyde de diéthyle]
290919,"Éthers acycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'éther diéthylique [oxyde de diéthyle])"
290920,"Éthers cyclaniques, cycléniques, cycloterpéniques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
290930,"Éthers aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
290941,"2,2'-Oxydiéthanol [diéthylène-glycol]"
290943,Éthers monobutyliques de l'éthylène-glycol ou du diéthylène-glycol
290944,Éthers monoalkyliques de l'éthylène-glycol ou du diéthylène-glycol (à l'excl. des éthers monobutyliques)
290949,"Éthers-alcools et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. du 2,2'-oxydiéthanol [diéthylène-glycol] ainsi que des éthers monoalkyliques de l'éthylène-glycol ou du diéthylène-glycol)"
290950,"Éthers-phénols, éthers-alcools-phénols et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
290960,"Peroxydes d’alcools, peroxydes d’éthers, peroxydes d’acétals et d’hémi-acétals, peroxydes de cétones, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
2910,"Époxydes, époxy-alcools, époxy-phénols et époxy-éthers, avec trois atomes dans le cycle, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291010,Oxiranne «oxyde d’éthylène»
291020,Méthyloxiranne «oxyde de propylène»
291030,"1-chloro-2,3-époxypropane «épichlorhydrine»"
291040,Dieldrine «ISO» «DCI»
291050,Endrine «ISO»
291090,"Époxydes, époxy-alcools, époxy-phénols et époxy-éthers, avec trois atomes dans le cycle, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion de l’oxiranne «oxyde d’éthylène», du méthyloxiranne «oxyde de propylène», du 1-chloro-2,3-époxypropane «épichlorhydrine», du dieldrine (ISO) (DCI) et de l’endrine «ISO»]"
2911,"Acétals et hémi-acétals, même contenant d’autres fonctions oxygénées, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des peroxydes d’acétals et d’hémi-acétals)"
2912,"Aldéhydes, même contenant d'autres fonctions oxygénées; polymères cycliques des aldéhydes; paraformaldéhyde"
291211,Méthanal [formaldéhyde]
291212,Éthanal [acétaldéhyde]
291219,Aldéhydes acycliques ne contenant pas d'autres fonctions oxygénées (à l'excl. du méthanal [formaldéhyde] et de l'éthanal [acétaldéhyde])
291221,Benzaldéhyde [aldéhyde benzoïque]
291229,Aldéhydes cycliques ne contenant pas d'autres fonctions oxygénées (à l'excl. du benzaldéhyde [aldéhyde benzoïque])
291241,Vanilline [aldéhyde méthylprotocatéchique]
291242,Éthylvanilline [aldéhyde éthylprotocatéchique]
291249,"Aldéhydes-alcools, aldéhydes-éthers, aldéhydes-phénols et aldéhydes contenant d'autres fonctions oxygénées (à l'excl. de la vanilline [aldéhyde méthylprotocatéchique] et de l'éthylvanilline [aldéhyde éthylprotocatéchique])"
291250,Polymères cycliques des aldéhydes
291260,Paraformaldéhyde
2913,"Dérivés halogénés, sulfonés, nitrés ou nitrosés des aldéhydes, des polymères cycliques des aldéhydes ou du formaldéhyde"
2914,"Cétones et quinones, même contenant d’autres fonctions oxygénées, et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291411,Acétone
291412,Butanone «méthyléthylcétone»
291413,4-méthylpentane-2-one «méthylisobutylcétone»
291419,"Cétones acycliques ne contenant pas d’autres fonctions oxygénées (à l’exclusion de l’acétone, du butanone «méthyléthylcétone» et du 4-méthylpentane-2-one «méthylisobutylcétone»)"
291422,Cyclohexanone et méthylcyclohexanones
291423,Ionones et méthylionones
291429,"Cétones cyclaniques, cycléniques ou cycloterpéniques ne contenant pas d’autres fonctions oxygénées (à l’exclusion de la cyclohexanone, des méthylcyclohexanones, des ionones et méthylionones)"
291431,Phénylacétone «phénylpropane-2-one»
291439,Cétones aromatiques ne contenant pas d’autres fonctions oxygénées [à l’exclusion de la phénylacétone (phénylpropane-2-one)]
291440,Cétones-alcools et cétones-aldéhydes
291450,Cétones-phénols et cétones contenant d’autres fonctions oxygénées
291461,Anthraquinone
291462,Coenzyme Q10 «ubidécarénone (DCI)»
291469,Quinones [à l’exclusion de l’anthraquinone et du coenzyme Q10 «ubidécarénone (DCI)»]
291471,Chlordécone «ISO»
291479,"Dérivés halogénés, sulfonés, nitrés ou nitrosés des cétones ou des quinones (à l’exclusion du chlordécone «ISO» et des composés inorganiques ou organiques du mercure)"
2915,"Acides monocarboxyliques acycliques saturés et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291511,Acide formique
291512,Sels de l'acide formique
291513,Esters de l'acide formique
291521,Acide acétique
291524,Anhydride acétique
291529,Sels de l'acide acétique (à l'excl. des composés inorganiques ou organiques du mercure)
291531,Acétate d'éthyle
291532,Acétate de vinyle
291533,Acétate de n-butyle
291536,Acétate de dinosèbe [ISO]
291539,"Esters de l'acide acétique (à l'excl. des acétates d'éthyle, de vinyle, de n-butyle et de dinosèbe [ISO])"
291540,"Acides mono-, di- ou trichloroacétiques, leurs sels et leurs esters"
291550,"Acide propionique, ses sels et ses esters"
291560,"Acides butanoïques, acides pentanoïques, leurs sels et leurs esters"
291570,"Acide palmitique, acide stéarique, leurs sels et leurs esters"
291590,"Acides monocarboxyliques acycliques saturés, anhydrides, halogénures, peroxydes, peroxyacides et dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides formique, acétique, mono- ou trichloroacétiques, propionique, butanoïques, pentanoïques, palmitique ou stéarique et des sels et esters de ces produits ainsi qu'à l'excl. de l'anhydride acétique)"
2916,"Acides monocarboxyliques acycliques non saturés et acides monocarboxyliques cycliques, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291611,Acide acrylique et ses sels
291612,Esters de l'acide acrylique
291613,Acide méthacrylique et ses sels
291614,Esters de l'acide méthacrylique
291615,"Acides oléique, linoléique ou linolénique, leurs sels et leurs esters (à l'excl. des composés inorganiques ou organiques du mercure)"
291616,Binapacryl (ISO)
291619,"Acides monocarboxyliques acycliques non saturés, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides acrylique, méthacrylique, oléique, linoléique ou linolénique ainsi que de leurs sels et esters et du binapacryl (ISO))"
291620,"Acides monocarboxyliques cyclaniques, cycléniques ou cycloterpéniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des composés inorganiques ou organiques du mercure)"
291631,"Acide benzoïque, ses sels et ses esters (à l'excl. des composés inorganiques ou organiques du mercure)"
291632,Peroxyde de benzoyle et chlorure de benzoyle
291634,Acide phénylacétique et ses sels
291639,"Acides monocarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. de l'acide benzoïque, ses sels et ses esters, du peroxyde de benzoyle et chlorure de benzoyle, de l'acide phénylacétique et ses sels ainsi que des composés inorganiques ou organiques du mercure, de constitution chimique définie ou non)"
2917,"Acides polycarboxyliques, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291711,"Acide oxalique, ses sels et ses esters (à l'excl. des composés inorganiques ou organiques du mercure)"
291712,"Acide adipique, ses sels et ses esters"
291713,"Acide azélaïque, acide sébacique, leurs sels et leurs esters"
291714,Anhydride maléique
291719,"Acides polycarboxyliques acycliques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des acides oxalique, adipique, azélaïque ou sébacique et des sels et esters de ces acides, de l'anhydride maléique ainsi que des composés inorganiques ou organiques du mercure)"
291720,"Acides polycarboxyliques cyclaniques, cycléniques ou cycloterpéniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés"
291732,Orthophtalates de dioctyle
291733,Orthophtalates de dinonyle ou de didécyle
291734,"Esters de l'acide orthophtalique (à l'excl. des orthophtalates de dioctyle, de dinonyle ou de didécyle)"
291735,Anhydride phtalique
291736,Acide téréphtalique et ses sels
291737,Téréphtalate de diméthyle
291739,"Acides polycarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l'excl. des esters de l'acide orthophtalique, de l'anhydride phtalique, de l'acide téréphtalique et ses sels ainsi que du téréphtalate de diméthyle)"
2918,"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291811,"Acide lactique, ses sels et ses esters (à l’exclusion des composés inorganiques ou organiques du mercure)"
291812,Acide tartrique
291813,Sels et esters de l’acide tartrique
291814,Acide citrique
291815,Sels et esters de l’acide citrique (à l’exclusion des composés inorganiques ou organiques du mercure)
291816,"Acide gluconique, ses sels et ses esters"
291817,"Acide 2,2-diphényl-2-hydroxyacétique «acide benzilique»"
291818,Chlorobenzilate «ISO»
291819,"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides lactique, tartrique, citrique et gluconique, des sels et esters de ces produits, ainsi que du chlorobenzilate (ISO)]"
291821,Acide salicylique et ses sels (à l’exclusion des composés inorganiques ou organiques du mercure)
291822,"Acide o-acétylsalicylique, ses sels et ses esters"
291823,"Esters de l’acide salicylique et leurs sels (à l’exclusion de l’acide o-acétylsalicylique, ses sels et ses esters)"
291829,"Acides carboxyliques à fonction phénol mais sans autre fonction oxygénée, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des acides salicylique et o-acétylsalicylique ainsi que des sels et esters de ces produits)"
291830,"Acides carboxyliques à fonction aldéhyde ou cétone mais sans autre fonction oxygénée, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291891,"2,4,5-T «ISO» «acide 2,4,5-trichlorophénoxyacétique», ses sels et ses esters"
291899,"Acides carboxyliques contenant des fonctions oxygénées supplémentaires et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion des acides contenant uniquement la fonction alcool, phénol, aldéhyde ou cétone ainsi que du 2,4,5-T (ISO) (acide 2,4,5-trichlorophénoxyacétique), ses sels et esters]"
2919,"Esters phosphoriques et leurs sels, y.c. les lactophosphates; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
291910,"Phosphate de tris(2,3-dibromopropyle)"
291990,"Esters phosphoriques et leurs sels, y.c. les lactophosphates; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l'excl. du phosphate de tris(2,3-dibromopropyle)]"
2920,"Esters des acides inorganiques des non-métaux et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des esters des halogénures d’hydrogène et des esters phosphoriques, de leurs sels et de leurs dérivés halogénés, sulfonés, nitrés ou nitrosés)"
292011,Parathion «ISO» et parathion-méthyle «ISO» «méthyle parathion»
292019,"Esters thiophosphoriques «phosphorothioates» et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés [à l’exclusion du parathion (ISO) et du parathion-méthyle (ISO) (méthyle parathion)]"
292021,Phosphite de diméthyle
292022,Phosphite de diéthyle
292023,Phosphite de triméthyle
292024,Phosphite de triéthyle
292029,"Esters des phosphites et leurs sels leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des phosphites de diméthyle, de diéthyle, de triméthyle et de triéthyle)"
292030,Endosulfan «ISO»
292090,"Esters des acides inorganiques des non-métaux et leurs sels; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’exclusion des esters des halogénures d’hydrogène, des esters phosphoriques, des esters de phosphites et des esters thiophosphoriques «phosphorothioates», de leurs sels et de leurs dérivés halogénés, sulfonés, nitrés ou nitrosés, ainsi que de l’endosulfan «ISO» et des composés inorganiques ou organiques du mercure)"
2921,Composés à fonction amine
292111,"Mono-, di- ou triméthylamine et leurs sels"
292112,"Chlorhydrate de 2-chloroéthyl «N,N-diméthylamine»"
292113,"Chlorhydrate de 2-chloroéthyl «N,N-diéthylamine»"
292114,"Chlorhydrate de 2-chloroéthyl «N,N-diisopropylamine»"
292119,"Monoamines acycliques et leurs dérivés; sels de ces produits (à l'excl. de la mono-, di- ou triméthylamine et des sels de ces produits)"
292121,Éthylènediamine et ses sels
292122,Hexaméthylènediamine et ses sels
292129,"Polyamines acycliques et leurs dérivés; sels de ces produits (à l'excl. de l'éthylènediamine, de l'hexaméthylènediamine et des sels de ces produits)"
292130,"Monoamines et polyamines cyclaniques, cycléniques ou cycloterpéniques, et leurs dérivés; sels de ces produits"
292141,Aniline et ses sels (à l'excl. des composés inorganiques ou organiques du mercure)
292142,Dérivés de l'aniline et leurs sels
292143,Toluidines et leurs dérivés; sels de ces produits
292144,Diphénylamine et ses dérivés; sels de ces produits
292145,"1-Naphtylamine [alpha-naphtylamine], 2-naphtylamine [β-naphtylamine] et leurs dérivés; sels de ces produits"
292146,"Amfétamine [DCI], benzfétamine [DCI], dexamfétamine [DCI], étilamfétamine [DCI], fencamfamine [DCI], léfétamine [DCI], lévamfétamine [DCI], méfénorex [DCI] et phentermine [DCI] ainsi que leurs sels"
292149,"Monoamines aromatiques et leurs dérivés, et sels de ces produits (à l'excl. de l'aniline, des toluidines, de la diphénylamine, de la 1-naphtylamine, de la 2-naphtylamine et de leurs dérivés et des sels de ces produits ainsi que de l'amfétamine [DCI], du benzfétamine [DCI], du dexamfétamine [DCI], de l' étilamfétamine [DCI], du fencamfamine [DCI], du léfétamine [DCI], du lévamfétamine [DCI], du méfénorex [DCI] et du phentermine [DCI] et leurs sels)"
292151,"o-, m-, p-Phénylènediamine, diaminotoluènes, et leurs dérivés; sels de ces produits"
292159,"Polyamines aromatiques et leurs dérivés, et sels de ces produits (à l'excl. de la o-, m-, p-phénylènediamine, des diaminotoluènes et de leurs dérivés ainsi que des sels de ces produits)"
2922,Composés aminés à fonctions oxygénées
292211,Monoéthanolamine et ses sels
292212,Diéthanolamine et ses sels
292214,Dextropropoxyphène [DCI] et ses sels
292215,Triéthanolamine
292216,Sulfonate de perfluorooctane de diéthanolammonium
292217,Méthyldiéthanolamine et éthyldiéthanolamine
292218,"2-«N,N-diisopropylamino»éthanol"
292219,"Amino-alcools, leurs éthers et leurs esters; sels de ces produits (autres que ceux contenant plus d’une sorte de fonction oxygénée et à l’exclusion de la monoéthanolamine, de la diéthanolamine, du dextropropoxyphène «DCI», des sels de ces produits, de la triéthanolamine, du sulfonate de perfluorooctane de diéthanolammonium, de la méthyldiéthanolamine, de l’éthyldiéthanolamine et du 2-«N,N-diisopropylamino»éthanol)"
292221,Acides aminohydroxynaphtalènesulfoniques et leurs sels
292229,"Amino-naphtols et autres amino-phénols, leurs éthers et esters; sels de ces produits (à l'excl. des amino-naphtols et autres amino-phénols à fonctions oxygénées différentes, des acides aminonaphtolsulfoniques et leurs sels)"
292231,"Amfépramone [DCI], méthadone [DCI] et norméthadone [DCI] ainsi que leurs sels"
292239,"Amino-aldéhydes, amino-cétones et amino-quinones; sels de ces produits (autres que ceux à fonctions oxygénées différentes ainsi que de l'amfépramone [DCI], du méthadone [DCI] et du norméthadone [DCI] et de leurs sels)"
292241,Lysine et ses esters; sels de ces produits
292242,Acide glutamique et ses sels
292243,Acide anthranilique et ses sels
292244,Tilidine [DCI] et ses sels
292249,"Amino-acides et leurs esters; sels de ces produits (à l'excl. des amino-acides à fonctions oxygénées différentes ainsi que de la lysine et de ses esters, leurs sels, de l'acide glutamique, de l'acide anthranilique et du tilidine [DCI] et leurs sels)"
292250,"Amino-alcools-phénols, amino-acides-phénols et autres composés aminés à fonctions oxygénées (à l'excl. des amino-alcools, des amino-naphtols et autres amino-phénols et leurs éthers et esters, des amino-acides et leurs esters, des amino-aldéhydes, des amino-cétones, des amino-quinones et des sels de tous ces produits)"
2923,"Sels et hydroxydes d'ammonium quaternaires; lécithines et autres phosphoaminolipides, de constitution chimique définie ou non"
292310,Choline et ses sels
292320,"Lécithines et autres phosphoaminolipides, de constitution chimique définie ou non"
292330,Sulfonate de perfluorooctane de tétraéthylammonium
292340,Sulfonate de perfluorooctane de didécyldiméthylammonium
292390,"Sels et hydroxydes d’ammonium quaternaires (à l’exclusion de la choline et de ses sels, du sulfonate de perfluorooctane de tétraéthylammonium et du sulfonate de perfluorooctane de didécyldiméthylammonium)"
2924,Composés à fonction carboxyamide; composés à fonction amide de l'acide carbonique
292411,Méprobamate [DCI]
292412,"Fluoroacétamide [ISO], monocrotophos [ISO] et phosphamidon [ISO]"
292419,"Amides [y.c. les carbamates] acycliques et leurs dérivés; sels de ces produits (à l'excl. du méprobamate [DCI], du fluoroacétamide [ISO], du monocrotophos [ISO] et du phosphamidon [ISO])"
292421,Uréines et leurs dérivés; sels de ces produits
292423,Acide 2-acétamidobenzoïque [acide N-acétylanthranilique] et ses sels
292424,Éthinamate [DCI]
292425,Alachlore «ISO»
292429,"Amides, y compris les carbamates, cycliques et leurs dérivés; sels de ces produits (à l’exclusion des uréines et de leurs dérivés, des sels de ces produits, de l’acide 2-acétamidobenzoïque «acide N-acétylanthranilique» et ses sels, de l’éthinamate «DCI» et de l’alachlore «ISO»)"
2925,"Composés à fonction carboxyimide, y.c. la saccharine et ses sels, ou à fonction imine"
292511,Saccharine et ses sels
292512,Glutéthimide [DCI]
292519,"Imides et leurs dérivés; sels de ces produits (à l'excl. de la saccharine, ses sels et du glutéthimide [DCI] ainsi que des composés inorganiques ou organiques du mercure)"
292521,Chlordiméforme [ISO]
292529,Imines et leurs dérivés; sels de ces produits (à l'excl. du chlordiméforme [ISO])
2926,Composés à fonction nitrile
292610,Acrylonitrile
292620,1-Cyanoguanidine [dicyandiamide]
292630,"Fenproporex [DCI] et ses sels; méthadone [DCI]-intermédiaire [4-cyano-2-diméthylamino-4,4-diphénylbutane]"
292640,alpha-Phenylacétoacétonitrile
292690,"Composés à fonction nitrile (à l’exclusion de l’acrylonitrile, de la 1-cyanoguanidine «dicyandiamide», du fenproporex «DCI» et ses sels, du méthadone «DCI»-intermédiaire «4-cyano-2-diméthylamino-4,4-diphénylbutane» et de l’alpha-phénylacétoacétonitrile)"
2927,"Composés diazoïques, azoïques ou azoxyques"
2928,Dérivés organiques de l'hydrazine ou de l'hydroxylamine
2929,"Composés à fonctions azotées (sauf composés aminés à fonctions oxygénées, sels et hydroxydes organiques d'ammonium quaternaires, lécithines et autres phosphoaminolipides, composés à fonction amide de l'acide carbonique, composés à fonction amine, carboxyamide, carboxyimide, imine ou nitrile, composés diazoïques, azoïques ou azoxyques ainsi que les dérivés organiques de l'hydrazine ou de l'hydroxylamine)"
292910,Isocyanates
292990,"Composés à fonctions azotées (sauf isocyanates, composés aminés à fonctions oxygénées, sels et hydroxydes organiques d'ammonium quaternaires, lécithines et autres phosphoaminolipides, composés à fonction amide de l'acide carbonique, composés à fonction amine, carboxyamide, carboxyimide, imine ou nitrile, composés diazoïques, azoïques ou azoxyques ainsi que les dérivés organiques de l'hydrazine ou de l'hydroxylamine)"
2930,Thiocomposés organiques
293010,"2-(N,N-Diméthylamino)éthanethiol"
293020,Thiocarbamates et dithiocarbamates (à l'excl. des composés inorganiques ou organiques du mercure)
293030,"Mono-, di- ou tétrasulfures de thiourame"
293040,Méthionine
293060,"2-(N,N-diéthylamino)éthanethiol"
293070,Sulfure de bis(2-hydroxyéthyle) [thiodiglycol (DCI)]
293080,"Aldicarbe (ISO), captafol (ISO) et méthamidophos (ISO)"
293090,"Composés organosulfurés [à l’exclusion des thiocarbamates, des dithiocarbamates, des mono-, di- ou tétrasulfures de thiourame, de la méthionine, du 2-(N,N-diéthylamino)éthanethiol, du sulfure de bis(2-hydroxyéthyle) «thiodiglycol (DCI)», de l’aldicarbe (ISO), du captafol (ISO), du méthamidophos (ISO) et du 2-(N,N-diméthylamino)éthanethiol]"
2931,Composés organo-inorganiques de constitution chimique définie présentés isolément (à l'excl. des thiocomposés organiques ainsi que du mercure)
293110,Plomb tétraméthyle et plomb tétraéthyle
293120,Composés du tributylétain
293141,Méthylphosphonate de diméthyle
293142,Propylphosphonate de diméthyle
293143,Éthylphosphonate de diéthyle
293144,Acide méthylphosphonique
293145,Sel d’acide méthylphosphonique et d’(aminoiminométhyl)urée(1: 1)
293146,"2,4,6-Trioxide de 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane"
293147,"Méthylphosphonate de (5-éthyl-2-méthyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)méthyle et de méthyle"
293148,"3,9-Dioxyde de 3,9-diméthyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undécane"
293149,"Dérivés organophosphorés, non halogénés, de constitution chimique définie, présentés isolément, n.d.a."
293151,Dichlorure méthylphosphonique
293152,Dichlorure propylphosphonique
293153,Méthylphosphonothionate de O-(3-chloropropyl) O-[4-nitro-3-(trifluorométhyl)phényle]
293154,Trichlorfon (ISO)
293159,"Dérivés organophosphorés, halogénés, de constitution chimique définie, présentés isolément, n.d.a."
293190,"Composés organo-inorganiques de constitution chimique définie, présentés isolément (à l’exclusion des thiocomposés organiques, des composés du mercure, du plomb tétraméthyle et du tributylétain ainsi que des dérivés organo-phosphoriques)"
2932,Composés hétérocycliques à hétéroatome[s] d'oxygène exclusivement
293211,Tétrahydrofuranne
293212,2-Furaldéhyde [furfural]
293213,Alcool furfurylique et alcool tétrahydrofurfurylique
293214,Sucralose
293219,"Composés hétérocycliques à hétéroatome(s) d’oxygène exclusivement, dont la structure comporte un cycle furanne, hydrogéné ou non, non-condensé (à l’exclusion du tétrahydrofuranne, du 2-furaldéhyde «furfural», des alcools furfurylique et tétrahydrofurfurylique et du sucralose)"
293220,Lactones
293291,Isosafrole
293292,"1-[1,3-Benzodioxole-5-yl]propane-2-one"
293293,Pipéronal
293294,Safrole
293295,Tétrahydrocannabinols [tous les isomères]
293296,Carbofuran (ISO)
293299,"Composés hétérocycliques à hétéroatome(s) d’oxygène exclusivement [à l’exclusion des lactones, de l’isosafrole, du 1-(1,3-benzodioxole-5-yl)propane-2-one, du pipéronal, du safrole, du tétrahydrocannabinol (tous les isomères), du carbofuran, des composés dont la structure comporte un cycle furanne, hydrogéné ou non, non condensé, ainsi que des composés inorganiques ou organiques du mercure]"
2933,Composés hétérocycliques à hétéroatome[s] d'azote exclusivement
293311,Phénazone [antipyrine] et ses dérivés
293319,"Composés hétérocycliques à hétéroatome[s] d'azote exclusivement, dont la structure comporte un cycle pyrazole, hydrogéné ou non, non condensé (à l'excl. de la phénazone [antipyrine] et de ses dérivés)"
293321,Hydantoïne et ses dérivés
293329,"Composés hétérocycliques à hétéroatome[s] d'azote exclusivement, dont la structure comporte un cycle imidazole, hydrogéné ou non, non condensé (à l'excl. de l'hydantoïne et de ses dérivés, ainsi que des produits du n° 300210)"
293331,Pyridine et ses sels
293332,Pipéridine et ses sels
293333,"Alfentanil (DCI), aniléridine (DCI), bézitramide (DCI), bromazépam (DCI), carfentanil (DCI), cétobémidone (DCI), difénoxine (DCI), diphénoxylate (DCI), dipipanone (DCI), fentanyl (DCI), méthylphénidate (DCI), pentazocine (DCI), péthidine (DCI), péthidine (DCI) intermédiaire A, phencyclidine (DCI) (PCP), phénopéridine (DCI), pipradrol (DCI), piritramide (DCI), propiram (DCI), rémifentanil (DCI) et trimépéridine (DCI), ainsi que leurs sels"
293334,"Fentanyls et leurs dérivés, à hétéroatome(s) d’azote exclusivement, dont la structure comporte un cycle pyridine, hydrogéné ou non, non condensé (à l’exclusion des produits du nº 2933.33)"
293335,Quinuclidine-3-ol
293336,4-anilino-N-phénéthyl-pipéridine (ANPP)
293337,N-phénéthyl-4-pipéridone (NPP)
293339,"Composés hétérocycliques à hétéroatome(s) d’azote exclusivement, dont la structure comporte un cycle pyridine, hydrogéné ou non, non condensé, n.d.a."
293341,Lévorphanol [DCI] et ses sels
293349,"Composés hétérocycliques à hétéroatome[s] d'azote exclusivement, comportant une structure à cycles quinoléine ou isoquinoléine, hydrogénés ou non, sans autres condensations (à l'excl. du lévorphanol [DCI] et ses sels ainsi que des composés inorganiques ou organiques du mercure)"
293352,Malonylurée [acide barbiturique] et ses sels
293353,"Allobarbital [DCI], amobarbital [DCI], barbital [DCI], butalbital [DCI], butobarbital, cyclobarbital [DCI], méthylphénobarbital [DCI], pentobarbital [DCI], phénobarbital [DCI], secbutabarbital [DCI], sécobarbital [DCI] et vinylbital [DCI] ainsi que leurs sels"
293354,Dérivés de malonylurée [acide barbiturique] et leurs sels (à l'excl. des sels de malonylurée)
293355,"Loprazolam [DCI], mécloqualone [DCI], méthaqualone [DCI] et zipéprol [DCI] ainsi que leurs sels"
293359,"Composés hétérocycliques à hétéroatome[s] d'azote exclusivement, dont la structure comporte un cycle pyrimidine, hydrogéné ou non, ou pipérazine (à l'excl. de la malonylurée [acide barbiturique] et ses dérivés ainsi que de l'allobarbital [DCI], de l'amobarbital [DCI], du barbital [DCI], du butalbital [DCI],  du butobarbital, du cyclobarbital [DCI], du méthylphénobarbital [DCI], du pentobarbital [DCI], du phénobarbital [DCI], du secbutabarbital [DCI], du sécobarbital [DCI], du vinylbital [DCI], du loprazolam [DCI], du mécloqualone [DCI], du méthaqualone [DCI] et du zipéprol [DCI] ainsi que de leurs sels)"
293361,Mélamine
293369,"Composés hétérocycliques à hétéroatome[s] d'azote exclusivement, dont la structure comporte un cycle triazine, hydrogéné ou non, non condensé (à l'excl. de la mélamine)"
293371,6-Hexanelactame [epsilon-caprolactame]
